CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50049598,LAST STOP BAR & GRILL,Bronx,4609,WHITE PLAINS ROAD,10470,3474274543,Latin American,04/28/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,,,08/28/2021,Inter-Agency Task Force / Initial Inspection,40.90234036,-73.851307,212,11,41400,2071123,2050830061,BX62
50011127,MINT MASALA,Manhattan,95,MACDOUGAL STREET,10012,2127772888,Indian,12/17/2019,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,12/17/2019,08/28/2021,Cycle Inspection / Re-inspection,40.72939143,-74.00100665,102,1,6500,1008735,1005420053,MN23
50077226,OKAWA,Queens,7705A,37TH AVE,11372,7186721818,Japanese,11/19/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,11/19/2019,08/28/2021,Cycle Inspection / Re-inspection,40.74927553,-73.88880968,403,25,28700,4029588,4012770036,QN28
50046901,WIN WAY CHINESE RESTAURANT,Brooklyn,2830,CONEY ISLAND AVENUE,11235,7188918838,Chinese,05/12/16,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,45,,,08/28/2021,Pre-permit (Operational) / Initial Inspection,40.58756189,-73.9603816,313,48,37000,3196031,3072240100,BK19
50036360,HOUSEMAN RESTAURANT,Manhattan,508,GREENWICH STREET,10013,2126410654,American,02/01/18,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,13,A,02/01/18,08/28/2021,Cycle Inspection / Initial Inspection,40.72571583,-74.00914952,102,3,3700,1010349,1005950076,MN24
50065563,BERIKONI,Brooklyn,125,BRIGHTON BEACH AVENUE,11235,6465730689,Middle Eastern,04/22/2019,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,38,,,08/28/2021,Cycle Inspection / Initial Inspection,40.57635437,-73.96732861,313,48,36200,3340585,3086690055,BK19
41719517,TORST,Brooklyn,615,MANHATTAN AVENUE,11222,7183896034,American,11/28/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,11/28/2018,08/28/2021,Cycle Inspection / Re-inspection,40.72335877,-73.95056691,301,33,56900,3066710,3026790013,BK76
50044248,678 DELI,Queens,8820,VAN WYCK EXPY,11418,7188801496,Sandwiches,07/31/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,25,,,08/28/2021,Cycle Inspection / Initial Inspection,40.70212937,-73.81671014,409,29,14202,4196421,4093420033,QN54
50017467,MIS TIERRAS COLOMBIANAS,Queens,5408,ROOSEVELT AVE,11377,7186727272,Latin American,01/06/20,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,,,08/28/2021,Cycle Inspection / Initial Inspection,40.74477923,-73.91034066,402,26,25100,4030988,4013230089,QN63
50033800,"CAFE, 911 MUSEUM",Manhattan,180,GREENWICH STREET,10007,2123128800,Coffee/Tea,12/02/16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,12/02/16,08/28/2021,Cycle Inspection / Re-inspection,40.71120944,-74.01230371,101,1,1300,1088798,1000580001,MN25
50002052,OTTO'S TACOS,Manhattan,141,SECOND AVENUE,10003,6466784018,Tex-Mex,08/22/2017,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,19,,,08/28/2021,Cycle Inspection / Initial Inspection,40.72901197,-73.98737909,103,2,3800,1006746,1004640034,MN22
41466918,NUEVO MEXICO MEXICAN RESTAURANT,Brooklyn,489,5 AVENUE,11215,7188320050,Mexican,03/05/18,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,10,A,03/05/18,08/28/2021,Cycle Inspection / Initial Inspection,40.66759223,-73.98760344,306,39,13900,3022922,3010230004,BK37
50001962,AROME,Manhattan,325,BROADWAY,10007,2122337447,American,02/11/19,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,57,,,08/28/2021,Cycle Inspection / Initial Inspection,40.71599139,-74.00478692,101,1,3300,1079211,1001520025,MN24
50063498,CAFE 48,Queens,21209,48TH AVE,11364,9173633861,Chinese,08/31/2017,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,20,,,08/28/2021,Pre-permit (Operational) / Initial Inspection,40.7553054,-73.76892901,411,19,144700,4157308,4073290047,QN46
40525767,CAPRI II PIZZA,Bronx,149,DREISER LOOP,10475,7186713822,Pizza,02/05/19,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,17,,,08/28/2021,Cycle Inspection / Initial Inspection,40.87651579,-73.82991803,210,12,46201,2097469,2051410500,BX13
50075895,TEAS ME DEAR,Queens,39-01,MAIN STREET,11354,7183532302,"Juice, Smoothies, Fruit Salads",05/21/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,05/21/2018,08/28/2021,Pre-permit (Operational) / Initial Inspection,40.76016119,-73.83042205,407,20,87100,4112490,4049800005,QN22
40567533,THE THIRSTY SCHOLAR,Manhattan,155,2 AVENUE,10003,2127776514,American,03/05/19,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,59,,,08/28/2021,Cycle Inspection / Initial Inspection,40.72950324,-73.9870218,103,2,4000,1006797,1004650049,MN22
50038802,REGO PARK COFFEE SHOP,Queens,9414,63RD DR,11374,7184592233,American,09/06/18,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,23,,,08/28/2021,Cycle Inspection / Initial Inspection,40.72880751,-73.86314759,406,29,69300,4072133,4030830056,QN18
50080295,PARADISE LOUNGE,Queens,678,WOODWARD AVENUE,11385,2159324545,American,11/27/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,11/27/2019,08/28/2021,Cycle Inspection / Re-inspection,40.7051799,-73.90619949,405,34,54900,4082941,4034680039,QN20
50066712,THE CAFE,Manhattan,2,WEST LOOP ROAD,10044,3475562243,Coffee/Tea,10/05/18,Violations were cited in the following area(s).,20F,Current letter grade sign not posted.,Not Critical,,,,08/28/2021,Administrative Miscellaneous / Initial Inspection,40.75654513,-73.95588069,108,5,23801,1090299,1013730035,MN31
50053120,DELICIAS MEXICANOS,Queens,10214,ROOSEVELT AVE,11368,7186724485,Mexican,09/17/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,38,,,08/28/2021,Cycle Inspection / Initial Inspection,40.74974264,-73.86381903,404,21,40500,4437314,4019740002,QN26
40366857,MALONEY'S BAR,Queens,8769,SUTPHIN BOULEVARD,11435,3472334472,American,12/26/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,,,08/28/2021,Cycle Inspection / Initial Inspection,40.70516967,-73.80941251,412,24,23800,4207075,4096920052,QN61
41606952,EL PUERTO MEXICANO,Queens,84-28,JAMAICA AVENUE,11421,7185210720,Mexican,05/19/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,05/19/2016,08/28/2021,Cycle Inspection / Re-inspection,40.6924704,-73.85938923,409,32,1000,4183719,4089190027,QN53
50001854,DUNKIN,Manhattan,2264,FREDERICK DOUGLASS BOULEVARD,,6465978172,Donuts,06/16/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,06/16/2017,08/28/2021,Cycle Inspection / Initial Inspection,0,0,,,,,1,
41136985,GLACKEN'S BAR,Bronx,135,EAST  149 STREET,10451,7185857082,American,10/16/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,,,08/28/2021,Cycle Inspection / Initial Inspection,40.81887014,-73.92849658,204,8,6300,2001114,2023520053,BX63
41258369,BLACK RABBIT BAR,Brooklyn,91,GREENPOINT AVENUE,11222,7183491595,American,12/01/17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,,,08/28/2021,Cycle Inspection / Initial Inspection,40.72999524,-73.95640346,301,33,56500,3064736,3025580074,BK76
50091742,CHINA ONE,Brooklyn,8901,FLATLANDS AVENUE,11236,7186492121,Chinese,08/13/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,08/13/2019,08/28/2021,Pre-permit (Operational) / Re-inspection,40.63981062,-73.90663404,318,46,96400,3224654,3080100009,BK50
40937799,ESTRELLA BAR & RESTAURANT,Bronx,1470,JEROME AVENUE,10452,7182937246,Latin American,01/05/19,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,01/05/19,08/28/2021,Cycle Inspection / Re-inspection,40.84160785,-73.91668986,204,14,22300,2008106,2028440001,BX63
50042664,MR PURPLE,Manhattan,180,ORCHARD STREET,10002,2122371790,American,02/25/2020,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23,,,08/28/2021,Cycle Inspection / Initial Inspection,40.72184548,-73.98830401,103,1,3001,1090121,1004127501,MN27
41616073,GRUENEBAUM'S BAKERY & CAFE,Bronx,5663,RIVERDALE AVENUE,10471,7184324779,Jewish/Kosher,08/22/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,,,08/28/2021,Cycle Inspection / Initial Inspection,40.90609655,-73.90431219,208,11,32300,2086317,2059530001,BX22
41616073,GRUENEBAUM'S BAKERY & CAFE,Bronx,5663,RIVERDALE AVENUE,10471,7184324779,Jewish/Kosher,08/22/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,,,08/28/2021,Cycle Inspection / Initial Inspection,40.90609655,-73.90431219,208,11,32300,2086317,2059530001,BX22
50086888,CAFECITO TO GO,Brooklyn,100,HENRY STREET,11201,9173598566,Coffee/Tea,02/13/2019,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,42,,,08/28/2021,Pre-permit (Non-operational) / Initial Inspection,40.69774678,-73.9928883,302,33,501,3335928,3002310001,BK09
50078307,THE KUSTORY,Manhattan,126,LEXINGTON AVENUE,10016,9172615814,Pakistani,11/07/19,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,29,C,11/07/19,08/28/2021,Cycle Inspection / Re-inspection,40.74288059,-73.98229167,105,2,7200,1018209,1008840020,MN20
41390593,NASSAU BAR,Manhattan,118,NASSAU STREET,10038,2129620011,Bottled Beverages,01/24/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,01/24/2019,08/28/2021,Cycle Inspection / Re-inspection,40.71086405,-74.006958,101,1,1501,1001274,1000920026,MN25
40401821,THREE DECKER RESTAURANT,Manhattan,1746,2 AVENUE,10128,2122899936,American,10/15/2019,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,11,A,10/15/2019,08/28/2021,Cycle Inspection / Initial Inspection,40.78100923,-73.94944069,108,5,15400,1050200,1015530049,MN32
50040450,BIEROCRACY,Queens,1223,JACKSON AVE,11101,2122891402,American,03/01/19,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,B,03/01/19,08/28/2021,Cycle Inspection / Re-inspection,40.74370564,-73.95040018,402,26,700,4000507,4000600001,QN31
50078074,BURGER KING,Queens,19414,LINDEN BLVD,11412,9174951640,Hamburgers,08/09/19,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,08/09/19,08/28/2021,Cycle Inspection / Initial Inspection,40.69298088,-73.75750898,412,27,39400,4271595,4126100015,QN08
